,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
57,Col4a2,Col4a2,0.77371866,0.3736559139784946,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,0.7990506,0.0
10330,Col4a2,Col4a2,0.5020133,0.26320357054302,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,Adipocytes,SMCs & Pericytes,0.7947939,0.0
10142,Col4a4,Col4a4,0.49270275,0.2701612903225806,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.7901386,0.0
137,Col5a3,Col5a3,1.3737493,0.5591397849462365,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.78311455,0.0
2713,Col4a2,Col4a2,0.87374604,0.4419354838709677,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,SMCs & Pericytes,Adipocytes,0.77868843,0.0
11233,Col3a1,Col3a1,0.44042873,0.2435483870967742,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.7640016,0.0
31,Col6a6,Col6a6,0.69136,0.325268817204301,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,0.75787127,0.0
10146,Col4a3,Col4a3,0.38309735,0.1948924731182795,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.73533595,0.0
10341,Col7a1,Col7a1,0.37828016,0.2069592528308124,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,Adipocytes,SMCs & Pericytes,0.7329273,0.0
11209,Col6a2,Col6a2,0.37403306,0.214516129032258,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.7308038,0.0
1816,Col5a1,Col5a1,0.7747799,0.4018817204301075,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,0.72920537,0.0
1778,Col4a2,Col4a2,0.77371866,0.3736559139784946,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,0.72867477,0.0
75,Col6a2,Col6a2,1.2429335,0.5604838709677419,Itga9,Itga9_Itgb1,0.20595784,0.1075268817204301,ASPC,ASPC,0.7244457,0.0
141,Col5a2,Col5a2,1.2444758,0.5672043010752689,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.71847785,0.0
77,Col6a2,Col6a2,1.2429335,0.5604838709677419,Itga11,Itga11_Itgb1,0.19247991,0.1115591397849462,ASPC,ASPC,0.7177067,0.0
10172,Col14a1,Col14a1,0.34756875,0.1653225806451612,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.7175716,0.0
1529,Col6a6,Col6a6,0.6089074,0.3274193548387096,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,SMCs & Pericytes,ASPC,0.716645,0.0
11227,Col5a3,Col5a3,0.33932754,0.1838709677419354,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.713451,0.0
11231,Col5a1,Col5a1,0.3087219,0.1806451612903225,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.6981482,0.0
11225,Col7a1,Col7a1,0.30569142,0.1693548387096774,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.696633,0.0
10158,Col12a1,Col12a1,0.29124317,0.1397849462365591,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.68940884,0.0
1768,Col6a6,Col6a6,0.69136,0.325268817204301,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,ASPC,Adipocytes,0.6874954,0.0
11223,Col12a1,Col12a1,0.2805932,0.1548387096774193,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.6840838,0.0
1599,Col5a2,Col5a2,0.53501254,0.2758064516129032,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,SMCs & Pericytes,ASPC,0.6796976,0.0
37,Col1a1,Col1a1,0.5333531,0.2634408602150537,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,0.6788678,0.0
10160,Col8a1,Col8a1,0.25993276,0.1008064516129032,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.6737536,0.0
10162,Col7a1,Col7a1,0.25196964,0.1411290322580645,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.669772,0.0
10134,Col6a1,Col6a1,0.23917955,0.1330645161290322,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.66337705,0.0
10140,Col4a5,Col4a5,0.23553437,0.1276881720430107,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.66155446,0.0
89,Col4a4,Col4a4,0.49270275,0.2701612903225806,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,ASPC,ASPC,0.6585427,0.0
10339,Col12a1,Col12a1,0.21471149,0.118770146293082,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,Adipocytes,SMCs & Pericytes,0.65114295,0.0
11235,Col18a1,Col18a1,0.20642743,0.1064516129032258,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.64700097,0.0
10153,Col15a1,Col15a1,0.20552093,0.1196236559139785,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.6465477,0.0
2705,Col6a6,Col6a6,0.6089074,0.3274193548387096,Itgb1,Itga1_Itgb1,0.6836308,0.3639556988180841,SMCs & Pericytes,Adipocytes,0.6462691,0.0
11277,Col4a2,Col4a2,0.87374604,0.4419354838709677,Itgb5,Itgb5,0.39974752,0.2209677419354838,SMCs & Pericytes,SMCs & Pericytes,0.63674676,0.0
1673,Col4a2,Col4a2,0.87374604,0.4419354838709677,Itgb5,Itgb5,0.39611614,0.2190860215053763,SMCs & Pericytes,ASPC,0.6349311,0.0
1607,Col3a1,Col3a1,0.44042873,0.2435483870967742,Itga1,Itga1_Itgb1,0.8243826,0.407258064516129,SMCs & Pericytes,ASPC,0.63240564,0.0
2783,Col4a2,Col4a2,0.87374604,0.4419354838709677,Itgb5,Itgb5,0.3660292,0.2024134225969088,SMCs & Pericytes,Adipocytes,0.6198876,0.0
