,ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,cellchat_pvals
611,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Tspan12,Tspan12,0.5981182795698925,0.208524413951461,Endothelial cells,ASPC,0.07656268457692367,1.0
3088,Ntrk3,Ntrk3,0.6307132820894289,0.23182238818345052,7.3557024,Ptprs,Ptprs,0.5413533834586466,0.1769341245924258,Adipocytes,Adipocytes_2,0.0758151208338107,0.0
3352,App,App,0.5463786531130876,0.17636496269356736,7.3557024,Tspan12,Tspan12,0.6804511278195489,0.23240075935629828,Immune cells,Adipocytes_2,0.07576397333289792,1.0
9064,App,App,0.5463786531130876,0.17636496269356736,7.3557024,Tspan12,Tspan12,0.6124031007751938,0.23196676674861044,Immune cells,Neuronal-like cells,0.07563319015824434,0.998
10450,Lamc1,Lamc1,0.5909774436090226,0.19958627265700188,7.3557024,Itga1,Itga1,0.646774193548387,0.20379137990562185,Adipocytes_2,SMCs & Pericytes,0.07522826098547214,0.0
10761,Nampt,Nampt,0.6302414231257941,0.22513976136822278,7.3557024,Insr,Insr,0.582258064516129,0.1805833632232955,Immune cells,SMCs & Pericytes,0.0751983850307142,0.97
3331,Nampt,Nampt,0.562358276643991,0.2001270045182084,7.3557024,Insr,Insr,0.6225563909774436,0.20286298946987383,Endothelial cells,Adipocytes_2,0.07509893709113385,1.0
3756,Vegfa,Vegfa,0.5968992248062015,0.20335639263151767,7.3557024,Nrp1,Nrp1,0.531578947368421,0.19954789798098357,Neuronal-like cells,Adipocytes_2,0.07506639199117922,1.0
7144,App,App,0.5607901479461113,0.183471787387108,7.3557024,Tspan12,Tspan12,0.6030534351145038,0.21904456711663783,Adipocytes,Mesothelium,0.07439717501722706,1.0
6280,Nampt,Nampt,0.6302414231257941,0.22513976136822278,7.3557024,Insr,Insr,0.5616264294790343,0.1766487120532534,Immune cells,Immune cells,0.07368064373334696,0.998
2822,Nampt,Nampt,0.6096774193548387,0.21257172983177908,7.3557024,Insr,Insr,0.5952971319943797,0.18581080320038357,SMCs & Pericytes,Adipocytes,0.0732127177297714,1.0
11243,Lamc1,Lamc1,0.6096774193548387,0.19325788281440728,7.3557024,Itga1,Itga1,0.646774193548387,0.20379137990562185,SMCs & Pericytes,SMCs & Pericytes,0.07301712582578222,0.0
9671,Lamc1,Lamc1,0.7054263565891473,0.21492206579970757,7.3557024,Itga1,Itga1,0.5658914728682171,0.1827084467509649,Neuronal-like cells,Neuronal-like cells,0.07281735838455902,0.0
4795,Nampt,Nampt,0.6302414231257941,0.22513976136822278,7.3557024,Insr,Insr,0.5521541950113379,0.17276095808797418,Immune cells,Endothelial cells,0.0721760915037849,1.0
10176,Fbn1,Fbn1,0.6747311827956989,0.24442358607135758,7.3557024,Itgb1,Itgb1,0.5403225806451613,0.15882077207538742,ASPC,SMCs & Pericytes,0.07204553580616319,0.0
272,Col3a1,Col3a1,0.717741935483871,0.23253919220672908,7.3557024,Ddr2,Ddr2,0.5416666666666666,0.16643944380101522,ASPC,ASPC,0.07184597814596219,0.0
7519,App,App,0.5463786531130876,0.17636496269356736,7.3557024,Tspan12,Tspan12,0.6030534351145038,0.21904456711663783,Immune cells,Mesothelium,0.07172207033962234,1.0
11326,Nampt,Nampt,0.6096774193548387,0.21257172983177908,7.3557024,Insr,Insr,0.582258064516129,0.1805833632232955,SMCs & Pericytes,SMCs & Pericytes,0.07129987119486854,1.0
8666,Nampt,Nampt,0.7090668650301678,0.24937899795125457,7.3557024,Insr,Insr,0.5038759689922481,0.15359838950096416,Adipocytes,Neuronal-like cells,0.07115718505263427,0.948
324,App,App,0.5607901479461113,0.183471787387108,7.3557024,Tspan12,Tspan12,0.5981182795698925,0.208524413951461,Adipocytes,ASPC,0.07107803744970095,1.0
10423,Col4a1,Col4a1,0.7030075187969925,0.23964289919840664,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.15882077207538742,Adipocytes_2,SMCs & Pericytes,0.07073607247336607,0.0
11006,Col4a1,Col4a1,0.6744186046511628,0.23943554872784475,7.3557024,Itgb1,Itga1_Itgb1,0.5403225806451613,0.15882077207538742,Neuronal-like cells,SMCs & Pericytes,0.07067919411370088,0.0
6894,Nampt,Nampt,0.6096774193548387,0.21257172983177908,7.3557024,Insr,Insr,0.5616264294790343,0.1766487120532534,SMCs & Pericytes,Immune cells,0.06985487081937654,1.0
5172,Lamc1,Lamc1,0.7054263565891473,0.21492206579970757,7.3557024,Itga1,Itga1,0.5657596371882087,0.17466941096819105,Neuronal-like cells,Endothelial cells,0.06983720084693622,0.0
3913,Ntrk3,Ntrk3,0.6080645161290322,0.2102140442716744,7.3557024,Ptprs,Ptprs,0.5413533834586466,0.1769341245924258,SMCs & Pericytes,Adipocytes_2,0.06923762230426904,0.0
2232,Nampt,Nampt,0.562358276643991,0.2001270045182084,7.3557024,Insr,Insr,0.5952971319943797,0.18581080320038357,Endothelial cells,Adipocytes,0.0692232785351125,1.0
10570,Lamc1,Lamc1,0.5702947845804989,0.18227725784657697,7.3557024,Itga1,Itga1,0.646774193548387,0.20379137990562185,Endothelial cells,SMCs & Pericytes,0.06915530783029548,0.0
