,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
11229,Col5a2,Col5a2,0.53501254,0.27580645161290324,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.8112935,0.0
10487,Sptan1,Sptan1,0.93826944,0.4413533834586466,Ptpra,Ptpra,0.6838296,0.3741935483870968,Adipocytes_2,SMCs & Pericytes,0.8110495,1.0
10884,Col4a1,Col4a1,1.3134139,0.5572519083969466,Cd47,Cd47,0.30831593,0.18225806451612903,Mesothelium,SMCs & Pericytes,0.8108649,0.999
4403,Adam12,Adam12,0.8959668,0.4037593984962406,Sdc4,Sdc4,0.7251254,0.3673469387755102,Adipocytes_2,Endothelial cells,0.8105461,0.0
10122,Col1a1,Col1a1,0.5333531,0.26344086021505375,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.8104638,0.0
8152,Sparc,Sparc,0.64204204,0.3419354838709677,Fgfr1,Fgfr1,0.97816056,0.4961832061068702,SMCs & Pericytes,Mesothelium,0.8101013,0.0
4640,Slit2,Slit2,0.23505075,0.12131519274376418,App,App,1.3843783,0.6218820861678005,Endothelial cells,Endothelial cells,0.80971456,0.191
8953,Lamc1,Lamc1,1.2518802,0.5702947845804989,Itgav,Itgav_Itgb8,0.36695364,0.20155038759689922,Endothelial cells,Neuronal-like cells,0.8094169,0.539
417,Farp2,Farp2,0.7558583,0.38870981072815936,Plxna2,Plxna2,0.8628066,0.41935483870967744,Adipocytes,ASPC,0.8093325,1.0
6393,Timp2,Timp2,0.8198959,0.4198473282442748,Itgb1,Itgb1,0.7979474,0.4193138500635324,Mesothelium,Immune cells,0.8089217,0.0
11039,Col5a1,Col5a1,0.5298476,0.27906976744186046,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,Neuronal-like cells,SMCs & Pericytes,0.80871105,0.0
9174,Ntrk3,Ntrk3,1.3665811,0.5603557814485387,Ptprf,Ptprf,0.250702,0.14728682170542637,Immune cells,Neuronal-like cells,0.80864155,0.987
10005,Lamc1,Lamc1,1.3391229,0.6096774193548387,Itga6,Itga6_Itgb4,0.27715746,0.14728682170542637,SMCs & Pericytes,Neuronal-like cells,0.80814016,0.0
9884,Lamc1,Lamc1,1.3391229,0.6096774193548387,Itga6,Itga6_Itgb1,0.27715746,0.14728682170542637,SMCs & Pericytes,Neuronal-like cells,0.80814016,0.0
11241,Lamb1,Lamb1,0.17283382,0.1,Itga1,Itga1,1.4434254,0.646774193548387,SMCs & Pericytes,SMCs & Pericytes,0.8081296,0.0
2628,Vcl,Vcl,1.2497077,0.6046511627906976,Itgb5,Itgb5,0.3660292,0.20241342259690884,Neuronal-like cells,Adipocytes,0.8078685,0.0
564,Sptan1,Sptan1,0.93826944,0.4413533834586466,Ptpra,Ptpra,0.6772486,0.3575268817204301,Adipocytes_2,ASPC,0.80775905,1.0
4206,Adipoq,Adipoq,0.92170656,0.45698924731182794,Adipor2,Adipor2,0.6933794,0.36281179138321995,ASPC,Endothelial cells,0.807543,1.0
1333,Col5a2,Col5a2,1.4219235,0.6201550387596899,Itga11,Itga11_Itgb1,0.19247991,0.11155913978494623,Neuronal-like cells,ASPC,0.80720174,0.0
676,Nampt,Nampt,1.3737104,0.562358276643991,Itga5,Itga5_Itgb1,0.24068525,0.13440860215053763,Endothelial cells,ASPC,0.8071978,1.0
4924,Timp2,Timp2,0.8198959,0.4198473282442748,Itgb1,Itgb1,0.7943177,0.4155328798185941,Mesothelium,Endothelial cells,0.80710685,0.0
6176,Col4a1,Col4a1,1.3895754,0.5832274459974587,Cd44,Cd44,0.22459666,0.12452350698856417,Immune cells,Immune cells,0.807086,0.991
4787,Slit2,Slit2,0.22968782,0.1156289707750953,App,App,1.3843783,0.6218820861678005,Immune cells,Endothelial cells,0.80703306,0.271
9646,Col5a2,Col5a2,1.4219235,0.6201550387596899,Itga2,Itga2_Itgb1,0.19161367,0.10852713178294573,Neuronal-like cells,Neuronal-like cells,0.8067686,0.0
1736,Psap,Psap,0.82680875,0.4290322580645161,Ar,Ar,0.78614223,0.3817204301075269,SMCs & Pericytes,ASPC,0.8064755,0.0
1935,App,App,1.2620152,0.5607901479461113,Notch2,Notch2,0.34993136,0.19828084965699644,Adipocytes,Adipocytes,0.8059733,1.0
794,Psap,Psap,0.82552767,0.4200680272108844,Ar,Ar,0.78614223,0.3817204301075269,Endothelial cells,ASPC,0.80583495,0.0
6277,Psap,Psap,1.0435213,0.5133418043202033,Sort1,Sort1,0.56801385,0.30241423125794153,Immune cells,Immune cells,0.80576754,0.003
6130,Lamc1,Lamc1,1.2518802,0.5702947845804989,Dag1,Dag1,0.35957342,0.19567979669631513,Endothelial cells,Immune cells,0.80572677,0.016
10743,Ntrk3,Ntrk3,1.3665811,0.5603557814485387,Ptprs,Ptprs,0.24395518,0.13870967741935483,Immune cells,SMCs & Pericytes,0.8052681,1.0
8390,Col6a2,Col6a2,1.2429335,0.5604838709677419,Itgav,Itgav_Itgb8,0.36695364,0.20155038759689922,ASPC,Neuronal-like cells,0.80494356,0.0
3588,Vegfb,Vegfb,0.26363167,0.15267175572519084,Nrp1,Nrp1,1.3461003,0.531578947368421,Mesothelium,Adipocytes_2,0.804866,1.0
10565,Cxcl12,Cxcl12,0.8996313,0.43197278911564624,Sdc4,Sdc4,0.7099722,0.36451612903225805,Endothelial cells,SMCs & Pericytes,0.80480176,0.0
1400,Psap,Psap,0.8522751,0.43410852713178294,Lrp1,Lrp1,0.75651664,0.3870967741935484,Neuronal-like cells,ASPC,0.80439585,0.004
